Date,Close
2010-07-16,20.09
2010-07-19,20.4
2010-07-20,20.79
2010-07-21,20.17
2010-07-22,20.94
2010-07-23,21.09
2010-07-26,21.14
2010-07-27,21.04
2010-07-28,21.04
2010-07-29,20.77
2010-07-30,20.91
2010-08-02,21.46
2010-08-03,20.97
2010-08-04,21.1
2010-08-05,21.07
2010-08-06,21.45
2010-08-09,21.98
2010-08-10,21.91
2010-08-11,21.25
2010-08-12,21.59
2010-08-13,21.5
2010-08-16,22.05
2010-08-17,22.35
2010-08-18,22.74
2010-08-19,23.13
2010-08-20,23.37
2010-08-23,23.27
2010-08-24,22.87
2010-08-25,23.16
2010-08-26,22.73
2010-08-27,23.18
2010-08-30,23.13
2010-08-31,23.23
2010-09-01,24.03
2010-09-02,24.06
2010-09-03,24.13
2010-09-07,23.53
2010-09-08,24.57
2010-09-09,24.3
2010-09-10,24.1
2010-09-13,24.3
2010-09-14,24.25
2010-09-15,24.19
2010-09-16,23.9
2010-09-17,24.22
2010-09-20,24.65
2010-09-21,24.74
2010-09-22,24.34
2010-09-23,24.25
2010-09-24,24.74
2010-09-27,24.77
2010-09-28,24.87
2010-09-29,24.99
2010-09-30,24.4
2010-10-01,24.46
2010-10-04,24.08
2010-10-05,24.59
2010-10-06,24.45
2010-10-07,24.75
2010-10-08,24.61
2010-10-11,24.29
2010-10-12,24.44
2010-10-13,24.87
2010-10-14,25.28
2010-10-15,25.68
2010-10-18,25.72
2010-10-19,25.53
2010-10-20,25.66
2010-10-21,27.2
2010-10-22,28.07
2010-10-25,27.93
2010-10-26,28.75
2010-10-27,29.28
2010-10-28,29.72
2010-10-29,29.86
2010-11-01,29.36
2010-11-02,30.07
2010-11-03,30.11
2010-11-04,30.15
2010-11-05,30.86
2010-11-08,30.84
2010-11-09,30.53
2010-11-10,30.93
2010-11-11,30.79
2010-11-12,30.14
2010-11-15,30.06
2010-11-16,29.77
2010-11-17,30.14
2010-11-18,30.57
2010-11-19,30.3
2010-11-22,30.64
2010-11-23,30.18
2010-11-24,31.21
2010-11-26,31.15
2010-11-29,30.23
2010-11-30,29.14
2010-12-01,29.26
2010-12-02,29.91
2010-12-03,29.61
2010-12-06,29.48
2010-12-07,30.0
2010-12-08,30.15
2010-12-09,30.35
2010-12-10,30.69
2010-12-13,30.28
2010-12-14,30.75
2010-12-15,30.19
2010-12-16,30.53
2010-12-17,29.82
2010-12-20,29.58
2010-12-21,28.65
2010-12-22,28.57
2010-12-23,28.32
2010-12-27,28.31
2010-12-28,28.35
2010-12-29,28.36
2010-12-30,28.13
2010-12-31,27.83
2011-01-03,28.68
2011-01-04,28.47
2011-01-05,28.73
2011-01-06,28.42
2011-01-07,27.7
2011-01-10,28.26
2011-01-11,28.36
2011-01-12,28.83
2011-01-13,28.71
2011-01-14,29.18
2011-01-18,29.45
2011-01-19,29.1
2011-01-20,30.78
2011-01-21,30.02
2011-01-24,30.51
2011-01-25,30.91
2011-01-26,31.06
2011-01-27,30.96
2011-01-28,30.31
2011-01-31,30.36
2011-02-01,31.64
2011-02-02,31.88
2011-02-03,32.05
2011-02-04,32.21
2011-02-07,32.24
2011-02-08,32.64
2011-02-09,31.95
2011-02-10,34.49
2011-02-11,34.51
2011-02-14,33.86
2011-02-15,34.46
2011-02-16,34.46
2011-02-17,34.69
2011-02-18,34.53
2011-02-22,33.65
2011-02-23,32.85
2011-02-24,33.09
2011-02-25,33.63
2011-02-28,33.5
2011-03-01,32.29
2011-03-02,32.68
2011-03-03,32.93
2011-03-04,32.0
2011-03-07,31.5
2011-03-08,31.67
2011-03-09,31.33
2011-03-10,31.08
2011-03-11,30.92
2011-03-14,30.77
2011-03-15,30.44
2011-03-16,29.73
2011-03-17,29.95
2011-03-18,30.47
2011-03-21,30.58
2011-03-22,30.22
2011-03-23,30.67
2011-03-24,31.76
2011-03-25,31.7
2011-03-28,30.34
2011-03-29,31.08
2011-03-30,31.63
2011-03-31,31.04
2011-04-01,31.36
2011-04-04,31.39
2011-04-05,31.84
2011-04-06,31.85
2011-04-07,31.53
2011-04-08,31.14
2011-04-11,31.19
2011-04-12,30.7
2011-04-13,30.67
2011-04-14,30.85
2011-04-15,31.61
2011-04-18,31.15
2011-04-19,31.15
2011-04-20,31.76
2011-04-21,31.95
2011-04-25,32.96
2011-04-26,33.08
2011-04-27,34.03
2011-04-28,34.0
2011-04-29,34.39
2011-05-02,33.64
2011-05-03,33.54
2011-05-04,33.01
2011-05-05,32.68
2011-05-06,32.72
2011-05-09,33.12
2011-05-10,33.93
2011-05-11,33.31
2011-05-12,33.58
2011-05-13,33.57
2011-05-16,32.37
2011-05-17,32.65
2011-05-18,32.88
2011-05-19,32.9
2011-05-20,32.48
2011-05-23,31.63
2011-05-24,30.82
2011-05-25,30.7
2011-05-26,30.66
2011-05-27,30.68
2011-05-31,31.17
2011-06-01,30.64
2011-06-02,31.28
2011-06-03,30.3
2011-06-06,29.56
2011-06-07,29.92
2011-06-08,30.56
2011-06-09,30.66
2011-06-10,29.96
2011-06-13,29.86
2011-06-14,29.76
2011-06-15,28.66
2011-06-16,28.47
2011-06-17,28.83
2011-06-20,28.82
2011-06-21,29.78
2011-06-22,29.34
2011-06-23,29.25
2011-06-24,28.35
2011-06-27,28.71
2011-06-28,28.96
2011-06-29,30.86
2011-06-30,32.27
2011-07-01,32.74
2011-07-05,32.64
2011-07-06,32.92
2011-07-07,33.33
2011-07-08,33.42
2011-07-11,32.91
2011-07-12,32.26
2011-07-13,32.38
2011-07-14,32.19
2011-07-15,32.81
2011-07-18,32.7
2011-07-19,33.76
2011-07-20,33.17
2011-07-21,33.44
2011-07-22,33.5
2011-07-25,33.8
2011-07-26,34.42
2011-07-27,33.36
2011-07-28,33.35
2011-07-29,32.75
2011-08-01,33.02
2011-08-02,31.5
2011-08-03,32.25
2011-08-04,30.04
2011-08-05,29.3
2011-08-08,26.95
2011-08-09,30.16
2011-08-10,29.15
2011-08-11,30.2
2011-08-12,30.53
2011-08-15,30.89
2011-08-16,30.36
2011-08-17,30.25
2011-08-18,27.94
2011-08-19,27.16
2011-08-22,27.36
2011-08-23,28.92
2011-08-24,29.05
2011-08-25,28.33
2011-08-26,29.46
2011-08-29,30.49
2011-08-30,30.95
2011-08-31,30.87
2011-09-01,30.39
2011-09-02,29.41
2011-09-06,29.27
2011-09-07,29.75
2011-09-08,30.51
2011-09-09,28.46
2011-09-12,29.42
2011-09-13,29.4
2011-09-14,30.14
2011-09-15,32.04
2011-09-16,33.69
2011-09-19,33.1
2011-09-20,32.73
2011-09-21,32.24
2011-09-22,31.67
2011-09-23,32.08
2011-09-26,32.55
2011-09-27,32.52
2011-09-28,31.64
2011-09-29,30.67
2011-09-30,29.49
2011-10-03,28.11
2011-10-04,29.35
2011-10-05,30.53
2011-10-06,31.44
2011-10-07,31.07
2011-10-10,32.3
2011-10-11,32.83
2011-10-12,32.75
2011-10-13,32.74
2011-10-14,33.69
2011-10-17,33.22
2011-10-18,33.87
2011-10-19,33.18
2011-10-20,32.15
2011-10-21,32.12
2011-10-24,32.37
2011-10-25,31.67
2011-10-26,31.08
2011-10-27,32.29
2011-10-28,33.25
2011-10-31,31.83
2011-11-01,30.89
2011-11-02,31.78
2011-11-03,33.05
2011-11-04,32.71
2011-11-07,32.47
2011-11-08,32.92
2011-11-09,31.18
2011-11-10,30.75
2011-11-11,31.76
2011-11-14,31.41
2011-11-15,31.45
2011-11-16,30.54
2011-11-17,29.65
2011-11-18,29.81
2011-11-21,28.75
2011-11-22,29.04
2011-11-23,28.55
2011-11-25,28.23
2011-11-28,29.66
2011-11-29,28.75
2011-11-30,29.59
2011-12-01,29.68
2011-12-02,29.6
2011-12-05,30.7
2011-12-06,30.9
2011-12-07,30.94
2011-12-08,31.03
2011-12-09,31.64
2011-12-12,31.13
2011-12-13,30.84
2011-12-14,30.27
2011-12-15,29.6
2011-12-16,30.4
2011-12-19,29.76
2011-12-20,30.63
2011-12-21,30.34
2011-12-22,30.61
2011-12-23,30.84
2011-12-27,30.92
2011-12-28,30.41
2011-12-29,30.36
2011-12-30,30.33
2012-01-03,31.34
2012-01-04,30.16
2012-01-05,30.71
2012-01-06,30.63
2012-01-09,30.51
2012-01-10,31.2
2012-01-11,31.52
2012-01-12,31.58
2012-01-13,30.62
2012-01-17,30.53
2012-01-18,30.34
2012-01-19,31.51
2012-01-20,31.93
2012-01-23,31.99
2012-01-24,31.95
2012-01-25,31.94
2012-01-26,31.71
2012-01-27,31.85
2012-01-30,31.58
2012-01-31,31.6
2012-02-01,32.2
2012-02-02,32.7
2012-02-03,32.95
2012-02-06,32.64
2012-02-07,32.87
2012-02-08,33.05
2012-02-09,33.26
2012-02-10,33.02
2012-02-13,33.16
2012-02-14,32.96
2012-02-15,33.31
2012-02-16,34.51
2012-02-17,35.06
2012-02-21,35.14
2012-02-22,34.67
2012-02-23,36.02
2012-02-24,36.36
2012-02-27,36.56
2012-02-28,36.62
2012-02-29,35.74
2012-03-01,36.37
2012-03-02,36.25
2012-03-05,35.72
2012-03-06,35.1
2012-03-07,35.59
2012-03-08,35.78
2012-03-09,36.25
2012-03-12,36.18
2012-03-13,37.33
2012-03-14,37.62
2012-03-15,36.83
2012-03-16,37.69
2012-03-19,37.79
2012-03-20,37.39
2012-03-21,37.42
2012-03-22,37.62
2012-03-23,37.09
2012-03-26,38.08
2012-03-27,37.87
2012-03-28,37.24
2012-03-29,36.99
2012-03-30,36.9
2012-04-02,36.59
2012-04-03,36.63
2012-04-04,35.73
2012-04-05,35.62
2012-04-09,36.3
2012-04-10,35.47
2012-04-11,35.76
2012-04-12,36.46
2012-04-13,36.12
2012-04-16,35.5
2012-04-17,36.08
2012-04-18,35.87
2012-04-19,40.62
2012-04-20,40.29
2012-04-23,39.65
2012-04-24,39.3
2012-04-25,39.86
2012-04-26,41.05
2012-04-27,41.23
2012-04-30,41.02
2012-05-01,40.75
2012-05-02,41.16
2012-05-03,40.38
2012-05-04,39.44
2012-05-07,40.07
2012-05-08,40.19
2012-05-09,40.56
2012-05-10,41.21
2012-05-11,40.74
2012-05-14,40.25
2012-05-15,40.05
2012-05-16,39.86
2012-05-17,39.03
2012-05-18,38.36
2012-05-21,39.51
2012-05-22,39.22
2012-05-23,39.68
2012-05-24,39.67
2012-05-25,40.35
2012-05-29,41.49
2012-05-30,39.59
2012-05-31,39.19
2012-06-01,38.82
2012-06-04,39.16
2012-06-05,39.76
2012-06-06,40.94
2012-06-07,40.9
2012-06-08,41.05
2012-06-11,40.93
2012-06-12,40.91
2012-06-13,40.17
2012-06-14,40.13
2012-06-15,40.67
2012-06-18,42.49
2012-06-19,43.5
2012-06-20,42.95
2012-06-21,41.83
2012-06-22,42.8
2012-06-25,41.8
2012-06-26,42.5
2012-06-27,42.29
2012-06-28,40.78
2012-06-29,42.01
2012-07-02,41.22
2012-07-03,41.2
2012-07-05,40.93
2012-07-06,40.41
2012-07-09,40.68
2012-07-10,39.68
2012-07-11,39.13
2012-07-12,39.31
2012-07-13,39.95
2012-07-16,38.6
2012-07-17,39.07
2012-07-18,40.46
2012-07-19,43.95
2012-07-20,44.85
2012-07-23,44.24
2012-07-24,43.52
2012-07-25,43.19
2012-07-26,43.79
2012-07-27,45.22
2012-07-30,45.6
2012-07-31,44.3
2012-08-01,43.89
2012-08-02,43.77
2012-08-03,44.5
2012-08-06,44.77
2012-08-07,45.61
2012-08-08,44.94
2012-08-09,44.27
2012-08-10,43.99
2012-08-13,45.32
2012-08-14,45.36
2012-08-15,44.98
2012-08-16,45.79
2012-08-17,46.87
2012-08-20,46.4
2012-08-21,45.85
2012-08-22,47.0
2012-08-23,46.8
2012-08-24,47.1
2012-08-27,46.98
2012-08-28,46.94
2012-08-29,47.49
2012-08-30,46.55
2012-08-31,47.47
2012-09-04,47.36
2012-09-05,47.16
2012-09-06,48.91
2012-09-07,49.24
2012-09-10,48.53
2012-09-11,48.33
2012-09-12,47.99
2012-09-13,48.88
2012-09-14,49.97
2012-09-17,50.48
2012-09-18,49.96
2012-09-19,50.39
2012-09-20,50.08
2012-09-21,49.47
2012-09-24,49.31
2012-09-25,48.03
2012-09-26,47.54
2012-09-27,49.12
2012-09-28,48.37
2012-10-01,48.23
2012-10-02,48.4
2012-10-03,48.59
2012-10-04,49.49
2012-10-05,48.73
2012-10-08,47.92
2012-10-09,46.22
2012-10-10,46.76
2012-10-11,47.49
2012-10-12,47.85
2012-10-15,47.4
2012-10-16,48.24
2012-10-17,48.2
2012-10-18,50.83
2012-10-19,49.97
2012-10-22,50.15
2012-10-23,49.35
2012-10-24,48.88
2012-10-25,48.34
2012-10-26,49.51
2012-10-31,48.26
2012-11-01,49.22
2012-11-02,48.69
2012-11-05,49.35
2012-11-06,49.49
2012-11-07,48.4
2012-11-08,47.87
2012-11-09,47.73
2012-11-12,47.47
2012-11-13,47.74
2012-11-14,46.47
2012-11-15,46.52
2012-11-16,47.26
2012-11-19,47.92
2012-11-20,48.26
2012-11-21,48.63
2012-11-23,49.01
2012-11-26,51.4
2012-11-27,51.15
2012-11-28,51.47
2012-11-29,52.2
2012-11-30,52.82
2012-12-03,52.04
2012-12-04,51.99
2012-12-05,52.02
2012-12-06,51.99
2012-12-07,51.74
2012-12-10,51.16
2012-12-11,51.99
2012-12-12,51.86
2012-12-13,51.02
2012-12-14,50.36
2012-12-17,51.32
2012-12-18,51.91
2012-12-19,51.34
2012-12-20,52.14
2012-12-21,51.35
2012-12-24,51.08
2012-12-26,50.24
2012-12-27,50.29
2012-12-28,49.81
2012-12-31,51.0
2013-01-02,53.59
2013-01-03,52.45
2013-01-04,52.78
2013-01-07,53.51
2013-01-08,52.68
2013-01-09,52.76
2013-01-10,53.0
2013-01-11,53.7
2013-01-14,53.18
2013-01-15,52.5
2013-01-16,52.9
2013-01-17,54.17
2013-01-18,54.21
2013-01-22,53.37
2013-01-23,53.38
2013-01-24,55.19
2013-01-25,56.53
2013-01-28,55.95
2013-01-29,55.66
2013-01-30,55.78
2013-01-31,55.97
2013-02-01,57.21
2013-02-04,55.69
2013-02-05,56.42
2013-02-06,56.11
2013-02-07,56.13
2013-02-08,56.62
2013-02-11,56.41
2013-02-12,56.78
2013-02-13,57.05
2013-02-14,56.83
2013-02-15,56.7
2013-02-19,56.68
2013-02-20,55.53
2013-02-21,54.62
2013-02-22,55.02
2013-02-25,53.61
2013-02-26,53.82
2013-02-27,54.15
2013-02-28,54.71
2013-03-01,54.9
2013-03-04,55.48
2013-03-05,55.26
2013-03-06,53.57
2013-03-07,52.98
2013-03-08,53.13
2013-03-11,52.76
2013-03-12,52.96
2013-03-13,50.98
2013-03-14,51.8
2013-03-15,50.41
2013-03-18,50.11
2013-03-19,51.1
2013-03-20,52.42
2013-03-21,52.92
2013-03-22,53.27
2013-03-25,51.31
2013-03-26,52.09
2013-03-27,52.07
2013-03-28,54.22
2013-04-01,55.71
2013-04-02,56.16
2013-04-03,55.5
2013-04-04,55.79
2013-04-05,55.52
2013-04-08,55.87
2013-04-09,56.07
2013-04-10,57.3
2013-04-11,57.78
2013-04-12,57.31
2013-04-15,55.84
2013-04-16,57.01
2013-04-17,56.1
2013-04-18,52.82
2013-04-19,52.39
2013-04-22,51.63
2013-04-23,52.49
2013-04-24,52.97
2013-04-25,52.36
2013-04-26,52.54
2013-04-29,52.84
2013-04-30,52.39
2013-05-01,52.4
2013-05-02,53.55
2013-05-03,54.21
2013-05-06,54.09
2013-05-07,53.94
2013-05-08,54.96
2013-05-09,55.17
2013-05-10,55.65
2013-05-13,55.33
2013-05-14,56.27
2013-05-15,56.65
2013-05-16,55.8
2013-05-17,56.71
2013-05-20,55.95
2013-05-21,54.95
2013-05-22,54.4
2013-05-23,54.48
2013-05-24,54.64
2013-05-28,55.53
2013-05-29,55.05
2013-05-30,55.1
2013-05-31,54.1
2013-06-03,53.41
2013-06-04,52.59
2013-06-05,51.36
2013-06-06,51.52
2013-06-07,51.45
2013-06-10,53.25
2013-06-11,52.05
2013-06-12,50.75
2013-06-13,51.48
2013-06-14,51.29
2013-06-17,52.07
2013-06-18,52.56
2013-06-19,52.23
2013-06-20,50.74
2013-06-21,51.13
2013-06-24,50.82
2013-06-25,51.64
2013-06-26,51.33
2013-06-27,52.14
2013-06-28,51.72
2013-07-01,52.9
2013-07-02,53.33
2013-07-03,53.17
2013-07-05,53.85
2013-07-08,53.71
2013-07-09,54.49
2013-07-10,54.88
2013-07-11,55.88
2013-07-12,57.04
2013-07-15,56.45
2013-07-16,56.81
2013-07-17,57.38
2013-07-18,53.52
2013-07-19,52.18
2013-07-22,52.31
2013-07-23,51.64
2013-07-24,52.1
2013-07-25,51.5
2013-07-26,52.25
2013-07-29,51.64
2013-07-30,51.98
2013-07-31,51.69
2013-08-01,52.41
2013-08-02,52.54
2013-08-05,52.71
2013-08-06,53.7
2013-08-07,53.01
2013-08-08,53.57
2013-08-09,53.33
2013-08-12,53.28
2013-08-13,54.12
2013-08-14,54.23
2013-08-15,53.18
2013-08-16,52.92
2013-08-19,52.07
2013-08-20,51.99
2013-08-21,50.96
2013-08-22,51.08
2013-08-23,51.65
2013-08-26,51.96
2013-08-27,50.61
2013-08-28,50.43
2013-08-29,50.99
2013-08-30,49.99
2013-09-03,50.32
2013-09-04,51.45
2013-09-05,51.95
2013-09-06,52.83
2013-09-09,52.67
2013-09-10,53.49
2013-09-11,54.28
2013-09-12,54.04
2013-09-13,53.82
2013-09-16,53.65
2013-09-17,54.63
2013-09-18,54.68
2013-09-19,54.45
2013-09-20,54.95
2013-09-23,54.76
2013-09-24,55.17
2013-09-25,54.21
2013-09-26,56.64
2013-09-27,55.78
2013-09-30,55.8
2013-10-01,55.97
2013-10-02,55.63
2013-10-03,54.91
2013-10-04,55.58
2013-10-07,54.57
2013-10-08,52.97
2013-10-09,52.33
2013-10-10,53.42
2013-10-11,54.37
2013-10-14,54.77
2013-10-15,53.97
2013-10-16,53.52
2013-10-17,51.38
2013-10-18,52.2
2013-10-21,51.94
2013-10-22,51.83
2013-10-23,51.73
2013-10-24,52.34
2013-10-25,51.64
2013-10-28,51.97
2013-10-29,53.34
2013-10-30,52.72
2013-10-31,52.71
2013-11-01,51.94
2013-11-04,51.37
2013-11-05,51.08
2013-11-06,53.28
2013-11-07,52.57
2013-11-08,53.0
2013-11-11,52.82
2013-11-12,52.83
2013-11-13,53.03
2013-11-14,52.88
2013-11-15,52.6
2013-11-18,52.08
2013-11-19,52.13
2013-11-20,50.39
2013-11-21,50.21
2013-11-22,50.33
2013-11-25,49.04
2013-11-26,48.76
2013-11-27,49.3
2013-11-29,50.52
2013-12-02,51.35
2013-12-03,51.93
2013-12-04,51.09
2013-12-05,51.41
2013-12-06,52.01
2013-12-09,51.69
2013-12-10,51.92
2013-12-11,51.37
2013-12-12,51.37
2013-12-13,51.55
2013-12-16,53.11
2013-12-17,52.58
2013-12-18,53.13
2013-12-19,53.4
2013-12-20,54.58
2013-12-23,55.3
2013-12-24,55.17
2013-12-26,54.06
2013-12-27,54.18
2013-12-30,54.01
2013-12-31,54.86
2014-01-02,53.94
2014-01-03,53.26
2014-01-06,51.78
2014-01-07,52.87
2014-01-08,52.37
2014-01-09,52.07
2014-01-10,52.16
2014-01-13,52.54
2014-01-14,52.96
2014-01-15,53.79
2014-01-16,53.74
2014-01-17,53.2
2014-01-21,54.15
2014-01-22,54.41
